ID,File Name,Command,Link,Alt Text,Created At,Type,Mime Type,Width,Height,Duration,Status,Errors
gid://shopify/MediaImage/26099377864841,View1_Work_SlimFit_Cushion_2500x1875_104f9887-5f74-4e35-861a-599c75ed0fd6.jpg,MERGE,https://cdn.shopify.com/s/files/1/0645/8412/2505/files/View1_Work_SlimFit_Cushion_2500x1875_104f9887-5f74-4e35-861a-599c75ed0fd6.jpg?v=1726689652,"A pair of blue and yellow cushion insoles designed for work shoes, with a textured pattern on the top surface and the brand name 'Superfeet' visible.",2024-09-18 16:00:50 -0400,IMAGE,image/jpeg,2500,1875,,Ready,
gid://shopify/MediaImage/26107207614601,24SF_Superfeet_logo_white.png,MERGE,https://cdn.shopify.com/s/files/1/0645/8412/2505/files/24SF_Superfeet_logo_white.png?v=1726839415,,2024-09-20 09:36:54 -0400,IMAGE,image/png,726,142,,Ready,
gid://shopify/MediaImage/26107228815497,Superfeet_logo.png,MERGE,https://cdn.shopify.com/s/files/1/0645/8412/2505/files/Superfeet_logo.png?v=1726839682,,2024-09-20 09:41:21 -0400,IMAGE,image/png,751,131,,Ready,
gid://shopify/MediaImage/26135853203593,woman-athlete-tying-shoes.jpg,MERGE,https://cdn.shopify.com/s/files/1/0645/8412/2505/files/woman-athlete-tying-shoes.jpg?v=1727451690,,2024-09-27 11:41:28 -0400,IMAGE,image/jpeg,4096,2731,,Ready,
gid://shopify/MediaImage/26135853236361,Screenshot_2024-06-27_at_4.24.31_PM.png,MERGE,https://cdn.shopify.com/s/files/1/0645/8412/2505/files/Screenshot_2024-06-27_at_4.24.31_PM.png?v=1727451692,,2024-09-27 11:41:31 -0400,IMAGE,image/png,282,66,,Ready,
gid://shopify/MediaImage/26135853269129,shoe-sticker-with-laces.jpg,MERGE,https://cdn.shopify.com/s/files/1/0645/8412/2505/files/shoe-sticker-with-laces.jpg?v=1727451694,,2024-09-27 11:41:32 -0400,IMAGE,image/jpeg,4096,2731,,Ready,
gid://shopify/MediaImage/26135853301897,black-and-white-running-shoe.jpg,MERGE,https://cdn.shopify.com/s/files/1/0645/8412/2505/files/black-and-white-running-shoe.jpg?v=1727451696,,2024-09-27 11:41:34 -0400,IMAGE,image/jpeg,3840,2560,,Ready,
gid://shopify/MediaImage/26135853662345,Screenshot_2024-06-27_at_4.24.11_PM.png,MERGE,https://cdn.shopify.com/s/files/1/0645/8412/2505/files/Screenshot_2024-06-27_at_4.24.11_PM.png?v=1727451697,,2024-09-27 11:41:35 -0400,IMAGE,image/png,302,60,,Ready,
gid://shopify/MediaImage/26135853695113,Screenshot_2024-06-27_at_4.24.02_PM.png,MERGE,https://cdn.shopify.com/s/files/1/0645/8412/2505/files/Screenshot_2024-06-27_at_4.24.02_PM.png?v=1727451699,,2024-09-27 11:41:37 -0400,IMAGE,image/png,324,116,,Ready,
gid://shopify/MediaImage/26135853727881,Screenshot_2024-06-27_at_4.24.26_PM.png,MERGE,https://cdn.shopify.com/s/files/1/0645/8412/2505/files/Screenshot_2024-06-27_at_4.24.26_PM.png?v=1727451700,,2024-09-27 11:41:39 -0400,IMAGE,image/png,306,92,,Ready,
