"Landing page type","Landing page path","Online store visitors","Sessions","Sessions with cart additions","Sessions that reached checkout"
"Custom Page","/pages/ccpa-privacy-policy",9,9,0,0
"Blog Article","/blogs/foot-health-podiatry/it-band-syndrome-explained",9,9,0,0
"Blog Article","/blogs/foot-health-podiatry/why-high-arches-can-lead-to-high-instep-foot",9,9,0,0
"Custom Page","/pages/international-distributors",9,9,0,0
"Blog Article","/blogs/foot-health-podiatry/tarsal-tunnel-syndrome-find-relief-with-superfeet-insoles",9,9,0,0
"Custom Page","/pages/healthcare-professionals/",8,8,0,0
"Blog Article","/blogs/foot-health-podiatry/flat-feet-vs-normal-arches-whats-the-real-difference-and-how-to-find-relief",8,8,0,0
"Blog Article","/blogs/company-news/superfeet-hockey-insoles-the-ultimate-assist",7,8,0,0
"Blog Article","/blogs/foot-health-podiatry/shin-splints-explained",7,7,0,0
"Blog Index","/blogs/technology",7,7,0,0
"Blog Article","/blogs/company-news/6-types-of-running-workouts-and-why-you-need-them",7,7,0,0
"Blog Article","/blogs/running/foot-stress-fractures-explained",7,7,0,0
"Blog Index","/blogs/running",7,7,0,0
,"/en-us/delux-mens-3-4",7,7,0,0
"Blog Article","/blogs/company-news/welcome-to-the-future-of-superfeet",7,7,0,0
"Blog Article","/blogs/company-news/superfeet-wins-recognition-in-inc-s-best-workplaces-2025",7,7,0,0
"Blog Article","/blogs/foot-health-podiatry/mortons-neuroma-explained",6,6,2,0
"Custom Page","/pages/qr-work-guide",6,6,0,0
"Blog Article","/blogs/company-news/are-soft-or-firm-insoles-better-for-me",6,6,0,0
"Blog Index","/blogs/foot-health-podiatry",6,6,0,0
"Custom Page","/pages/sustainability",6,6,0,0
"Blog Article","/blogs/health-wellness/tips-to-relieve-tired-and-aching-feet-according-to-a-podiatrist",6,6,0,0
"Blog Article","/blogs/foot-health-podiatry/strengthen-chronic-ankle-instability-with-superfeet-insoles",6,6,0,0
"Blog Article","/blogs/foot-health-podiatry/achilles-tendonitis-explained",6,6,0,0
