"Page path","Percent of page loads","Page loads","CLS P75","CLS distribution"
"/en-us/news/strength-training-for-runners-exercises-you-can-do-at-home",0,1,0.03,"[1,1,0,0]"
"/blogs/hiking-outdoor/day-hiking-everything-you-need-to-get-started",0,3,0.01,"[2,2,0,0]"
"/en-us/customer/account/login/referer/aHR0cHM6Ly93d3cuc3VwZXJmZWV0LmNvbS9lbi11cy9zaG9wL2hpa2UtY3VzaGlvbg%2C%2C/",0,1,0.07,"[1,1,0,0]"
"/blogs/national-parks/backpacking-in-the-smokies-an-insider-s-guide",0,1,0,"[1,1,0,0]"
"/blogs/running/lacing-patterns-for-common-foot-issues",0,14,0.01,"[9,9,0,0]"
"/en-us/casual-mens-easyfit",0,1,0,"[1,1,0,0]"
"/blogs/technology/how-3d-printed-me3d-personalized-insoles-are-made",0,2,0,"[2,2,0,0]"
"/blogs/foot-health-podiatry/metatarsalgia-explained",0,31,0.01,"[16,15,1,0]"
"/blogs/national-parks/hiking-in-shenandoah-national-park-an-insider-s-guide",0,1,0,"[0,0,0,0]"
"/rx/blogs/health-wellness",0,1,0.03,"[1,1,0,0]"
"/en-us/ambassador-application/",0,1,0.01,"[1,1,0,0]"
"/en-au/national-parks/national-parks/grand-canyon",0,1,0.05,"[1,1,0,0]"
"/en-us/insoles/hike-support",0,1,0.03,"[1,1,0,0]"
"/blogs/running/best-running-shoes-for-high-arches-where-superfeet-ranks",0,1,0,"[0,0,0,0]"
"/blogs/national-parks/trail-running-in-the-grand-canyon-an-insider-s-guide",0,3,0,"[1,1,0,0]"
"/en-eu/blog/superfeet-volunteers-1000-plus-hours-in-2019",0,1,0.19,"[1,0,1,0]"
"/products/active-support-high-arch",0,2,0.03,"[2,2,0,0]"
"/blogs/company-news/what-is-different-about-superfeet-womens-specific-insoles",0,4,0,"[1,1,0,0]"
"/products/run-support-medium-arch",0,2,0.02,"[1,1,0,0]"
"/en-gb/blog/staying-safe-in-the-sunshine",0,1,0.05,"[1,1,0,0]"
"/pages/holiday-gift-guide",0,7,0.04,"[5,5,0,0]"
"/blogs/foot-health-podiatry/high-arches-explained",0,2,0,"[0,0,0,0]"
"/products/all-purpose-high-impact-support-3-pack",0,25,0,"[5,5,0,0]"
"/blogs/foot-health-podiatry/mortons-neuroma-explained",0,3,0,"[2,2,0,0]"
"/en-us/customer/account/login/",0,1,0.03,"[1,1,0,0]"
"/blogs/company-news/superfeet-wins-recognition-in-inc-s-best-workplaces-2025",0,5,0.01,"[3,3,0,0]"
"/blogs/foot-health-podiatry/what-are-the-best-insoles-for-plantar-fasciitis-in-2025",0,13,0.08,"[8,6,0,2]"
"/collections/personalized",0,21,0.03,"[13,13,0,0]"
"/en-us/collections/running",0,2,0,"[0,0,0,0]"
"/blogs/running/6-mid-run-snacks-for-runners-to-reenergize",0,8,0,"[6,6,0,0]"
"/en-eu/news/how-to-not-overheat-while-running-this-summer",0,1,0.03,"[1,1,0,0]"
"/blogs/company-news/olympian-colleen-quigley-joins-team-superfeet",0,16,0.01,"[13,12,0,1]"
"/en-us/customer/account/login/referer/aHR0cHM6Ly93d3cuc3VwZXJmZWV0LmNvbS9lbi11cy9ibG9nL3N1cGVyZmVldC1jb21tdW5pdHktcmV0YWlsZXItYXdhcmQtZmluYWxpc3RzLTIwMjE%2C/",0,1,0.23,"[1,0,1,0]"
"/en-ca/everyday-pain-relief",0,1,0,"[1,1,0,0]"
"/en-gb/customer/account/login/referer/aHR0cHM6Ly93d3cuc3VwZXJmZWV0LmNvbS9lbi1nYi9ibG9nL3llcy1jYWJpbi1mZXZlci1pcy1yZWFsLWhlcmUtaXMtaG93LXRvLXByZXZlbnQtaXQ%2C/",0,1,0.18,"[1,0,1,0]"
"/activity/military/default.aspx",0,1,0.03,"[1,1,0,0]"
"/blogs/company-news/superfeet-2024-year-in-review",0,1,0.01,"[1,1,0,0]"
"/blogs/foot-health-podiatry/should-i-put-footbeds-in-my-ski-boots",0,10,0,"[2,2,0,0]"
"/blogs/foot-health-podiatry/work-boot-insoles-that-fight-fatigue-even-on-concrete-floors",0,10,0,"[2,2,0,0]"
"/en-us/insoles-and-sandals/all-purpose-support-high-arch-green-insoles",0,1,0.04,"[1,1,0,0]"
"/en-eu/blog/how-to-ramp-up-your-fitness-routine-with-trail-running",0,1,0.05,"[1,1,0,0]"
"/blogs/company-news/10-best-hikes-in-boulder",0,1,0,"[1,1,0,0]"
"/en-us/news/5-ways-to-reduce-stress-for-total-body-wellness",0,1,0.26,"[1,0,0,1]"
