"Discount name","Discount method","Discount type","Discount class","Applied discounts","Product and order discounts from apps","Shipping discounts from apps","Discounted orders","Gross sales","Returns","Net sales","Shipping charges","Taxes","Total sales"
"GX-WGIIXSU2IG","discount_code","percentage","product",-10.99,0,0,1,54.99,0,44,0,3.19,47.19
"GX-T4SFPBC2IQ","discount_code","percentage","product",-10.99,0,0,1,54.99,0,44,0,3.19,47.19
"GX-77NOQPU1FZ","discount_code","percentage","product",-10.99,0,0,1,54.99,0,44,0,3.08,47.08
"GMX-5789-1469-5978","discount_code","percentage","product",-10.99,0,0,1,54.99,0,44,0,3.08,47.08
"GMX-9452-9446-9594","discount_code","percentage","product",-10.99,0,0,1,54.99,0,44,0,2.97,46.97
"GMX-5573-0376-2435","discount_code","percentage","product",-10.99,0,0,1,54.99,0,44,0,2.92,46.92
"GMX-9858-6518-7644","discount_code","percentage","product",-10.99,0,0,1,54.99,0,44,0,2.86,46.86
"GMX-9929-8344-8505","discount_code","percentage","product",-10.99,0,0,1,54.99,0,44,0,2.64,46.64
"GMX-1734-2268-2285","discount_code","percentage","product",-10.99,0,0,1,54.99,0,44,0,2.64,46.64
"GX-T8TENKFBI4","discount_code","percentage","product",-10.99,0,0,1,54.99,0,44,0,2.64,46.64
"GX-5NXAY9U875","discount_code","percentage","product",-10.99,0,0,1,54.99,0,44,0,2.64,46.64
"GMX-3776-6227-7221","discount_code","percentage","product",-10.99,0,0,1,54.99,0,44,0,2.64,46.64
"GMX-6899-3454-5755","discount_code","percentage","product",-10.99,0,0,1,54.99,0,44,0,2.64,46.64
"GX-JBWJQD0T6E","discount_code","percentage","product",-10.99,0,0,1,54.99,0,44,0,2.64,46.64
"GX-I8K9B9LA7X","discount_code","percentage","product",-10.99,0,0,1,54.99,0,44,0,2.64,46.64
"GMX-6986-9458-6753","discount_code","percentage","product",-10.99,0,0,1,54.99,0,44,0,2.64,46.64
"GMX-6620-9171-4143","discount_code","percentage","product",-10.99,0,0,1,54.99,0,44,0,2.64,46.64
"GMX-8041-5518-2838","discount_code","percentage","product",-10.99,0,0,1,54.99,0,44,0,2.64,46.64
"GMX-6298-3863-3537","discount_code","percentage","product",-10.99,0,0,1,54.99,0,44,0,2.42,46.42
"GX-EX2DHWTZU8","discount_code","percentage","product",-10.99,0,0,1,54.99,0,44,0,2.42,46.42
"SFFF-4398-8475-2035","discount_code","percentage","product",-17.99,0,0,1,59.99,0,42,0,4.35,46.35
"SFFF-7921-1807-2509","discount_code","percentage","product",-17.99,0,0,1,59.99,0,42,0,4.1,46.1
"GMX-1748-4709-6204","discount_code","percentage","product",-10.99,0,0,1,54.99,0,44,0,1.98,45.98
"GMX-5083-7442-2788","discount_code","percentage","product",-10.99,0,0,1,54.99,0,44,0,1.76,45.76
"GX-FQT0NZ4FLY","discount_code","percentage","product",-10.99,0,0,1,54.99,0,44,0,1.72,45.72
"RE-1935-83MPIL","discount_code","percentage","product",-14.99,0,0,1,59.99,0,45,0,0,45
"5712-0565-1760","discount_code","percentage","product",-14.99,0,0,1,59.99,0,45,0,0,45
"GMX-1158-7969-6607","discount_code","percentage","product",-10.99,0,0,1,54.99,0,44,0,0,44
"GX-VILZTT9Z4X","discount_code","percentage","product",-10.99,0,0,1,54.99,0,44,0,0,44
"GX-NB9OYPQKBJ","discount_code","percentage","product",-10.99,0,0,1,54.99,0,44,0,0,44
"GMX-7237-7522-5877","discount_code","percentage","product",-10.99,0,0,1,54.99,0,44,0,0,44
"GMX-9611-3559-6036","discount_code","percentage","product",-10.99,0,0,1,54.99,0,44,0,0,44
"GMX-3229-5331-3589","discount_code","percentage","product",-10.99,0,0,1,54.99,0,44,0,0,44
"GMX-5949-4524-0020","discount_code","percentage","product",-10.99,0,0,1,54.99,0,44,0,0,44
"GMX-2662-7743-2441","discount_code","percentage","product",-10.99,0,0,1,54.99,0,44,0,0,44
"GX-FFNWE1ZFXK","discount_code","percentage","product",-7.99,0,0,1,39.99,0,32,0,3.28,35.28
"GMX-5850-7202-8636","discount_code","percentage","product",-6.99,0,0,1,34.99,0,28,0,2.73,30.73
"GX-YIHB831NZO","discount_code","percentage","product",-6.99,0,0,1,34.99,0,28,0,2.57,30.57
"GX-1EG1L9J4WA","discount_code","percentage","product",-6.99,0,0,1,34.99,0,28,0,2.44,30.44
"GMX-5550-6604-9098","discount_code","percentage","product",-6.99,0,0,1,34.99,0,28,0,2.17,30.17
"GX-F8SY02874K","discount_code","percentage","product",-6.99,0,0,1,34.99,0,28,0,1.96,29.96
"GX-XSA0KWH4Z9","discount_code","percentage","product",-6.99,0,0,1,34.99,0,28,0,1.89,29.89
"GX-V2LQD8NOTY","discount_code","percentage","product",-6.99,0,0,1,34.99,0,28,0,1.89,29.89
"ENUH-BNQK-CTZR","discount_code","percentage","product",-32.99,0,0,1,54.99,0,22,0,1.9,23.9
"SFCD-HJ5Y6J6NMF","discount_code","percentage","product",-94.99,0,0,1,94.99,0,0,0,0,0
"SFCD-2WL4OS7CY9","discount_code","percentage","product",-94.99,0,0,1,94.99,0,0,0,0,0
"SFWT-5AJPFQJQLR8","discount_code","percentage","product",-54.99,0,0,1,54.99,0,0,0,0,0
"CTCTEST100","discount_code","percentage","product",-119.98,0,0,2,119.98,0,0,0,0,0
"SFGN-0861-3287-6246","discount_code","percentage","product",-64.99,0,0,1,64.99,0,0,0,0,0
"SFWT-3GVGXGXYEK","discount_code","percentage","product",-94.99,0,0,1,94.99,0,0,0,0,0
"SFWT-O24I8CZT6TM","discount_code","percentage","product",-94.99,0,0,1,94.99,0,0,0,0,0
"bundle item","manual","percentage",,-37358.68,0,0,283,37358.68,0,0,0,0,0
"SFCD-J5TZBFV86S","discount_code","percentage","product",-94.99,0,0,1,94.99,0,0,0,0,0
"CTC100","discount_code","percentage","product",-1629.75,0,0,15,1629.75,0,0,0,0,0
"1797-5242-7339","discount_code","percentage","product",-8.24,0,0,1,54.99,-46.75,0,0,0,0
"SFGC-6215-6675-4579","discount_code","percentage","product",-59.99,0,0,1,59.99,0,0,0,0,0
"SFCD-GZWLNMCVB0","discount_code","percentage","product",-94.99,0,0,1,94.99,0,0,0,0,0
"SFCD-77CNOHA6S0","discount_code","percentage","product",-94.99,0,0,1,94.99,0,0,0,0,0
